a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C4 87 4F DF 50 5B D0 91 0729 C8E5 -13.776367 -13.776367 0.000000
45 4F E0 6E 6B 04 4B 57 034F 3D64 15.347656 15.347656 0.000000
17 F8 51 B5 6B CB 60 2D 0746 23BC 8.933594 8.933594 0.000000
1D AC 50 88 D6 E7 D1 BF FB7D 0EB7 3.678711 3.678711 0.000000
2C DC 38 BF B5 F9 A4 67 FA9E C06F -15.891602 -15.891602 0.000000
45 2D 7A 3E BD 37 EA 8C FC2B CD33 -12.700195 -12.700195 0.000000
35 58 D2 F0 F2 7C 76 46 0700 1526 5.287109 5.287109 0.000000
4C 56 ED 1E 56 6C C8 83 FCE1 3033 12.049805 12.049805 0.000000
6B E2 12 87 29 58 E2 9A 034B 3838 14.054688 14.054688 0.000000
18 E6 8F 7E 26 2D CE C5 048E FC94 -0.855469 -0.855469 0.000000
A2 B8 2E A4 CC 61 FB 17 FE7B ED21 -4.717773 -4.717773 0.000000
79 98 1E 06 71 91 8C B1 02DA 55E9 21.477539 21.477539 0.000000
7A 55 32 1F 2F AB 1D 6E FF21 0C4A 3.072266 3.072266 0.000000
73 14 C0 E4 2A 5A 59 5E FB92 F4F0 -2.765625 -2.765625 0.000000
3F 23 1D 2F 79 44 C8 41 01D3 2E7D 11.622070 11.622070 0.000000
90 C9 8C 82 86 94 FC 35 02E0 372E 13.794922 13.794922 0.000000
0E 71 F1 F0 2C 26 5A 6F FECE 05C6 1.443359 1.443359 0.000000
85 75 7C B1 D6 AB F6 42 FB14 CF33 -12.200195 -12.200195 0.000000
E6 0F 7B 26 38 84 BD 03 06E0 DA2D -9.456055 -9.456055 0.000000
DC 46 2A BC 1B F0 D8 55 04DB DF8B -8.114258 -8.114258 0.000000
17 F4 8D DC D1 A8 94 5E 06A5 29D8 10.460938 10.460938 0.000000
7D AF 38 2C 2B 0A 58 B6 00D5 1932 6.298828 6.298828 0.000000
6A 07 51 16 82 B6 4F 7C 039F F114 -3.730469 -3.730469 0.000000
9E 56 CA 4E 7A CB E8 24 04E7 D46D -10.893555 -10.893555 0.000000
32 10 0C F4 93 B4 00 62 FEAF E00D -7.987305 -7.987305 0.000000
9B AF 7E E3 A5 66 70 DC 06BF 4594 17.394531 17.394531 0.000000
D0 C3 CF 7B A2 49 5D 2F 0751 0C54 3.082031 3.082031 0.000000
C8 22 9C 3F A9 7F DF DE 02CB 2B37 10.803711 10.803711 0.000000
51 C7 71 D5 C5 66 1F 63 00BB D468 -10.898438 -10.898438 0.000000
CD EE 81 39 2A 1A 0C 06 F8E3 EA13 -5.481445 -5.481445 0.000000
52 9F B7 C8 70 1D EE 3C 0289 136E 4.857422 4.857422 0.000000
BD 05 A2 64 A0 7A 39 4E 02EA 27F6 9.990234 9.990234 0.000000
7C A8 0F DF 73 1A BE BF 02C7 360E 13.513672 13.513672 0.000000
83 C4 67 A7 A4 65 F4 FC 0109 12D9 4.711914 4.711914 0.000000
47 2A E7 DD CF 9E B2 3F 0314 E46A -6.896484 -6.896484 0.000000
92 49 A8 12 A5 6C FA C3 F969 3D15 15.270508 15.270508 0.000000
09 CF A5 0C 86 F9 F0 85 F892 F58B -2.614258 -2.614258 0.000000
D1 D1 68 F8 5D 8A 96 0E 07E6 E0FD -7.752930 -7.752930 0.000000
E2 CE 06 98 7C D2 77 BF F9AD 1153 4.331055 4.331055 0.000000
D6 DB 77 B2 48 71 FC E3 0064 EB39 -5.194336 -5.194336 0.000000
16 0B 15 9F 42 CF 3C AD F9C1 21B1 8.422852 8.422852 0.000000
F7 CA 74 E9 1E D5 DC 47 FDD8 EF2B -4.208008 -4.208008 0.000000
C3 DE 56 8F E4 92 96 28 FE5A DE5E -8.408203 -8.408203 0.000000
97 55 DE 36 C0 C9 99 E4 0294 1257 4.584961 4.584961 0.000000
CC C3 C1 24 4A 7B 4F 6E FC20 CBD0 -13.046875 -13.046875 0.000000
5E 2F 53 36 82 5C C9 DC 07C2 D0F5 -11.760742 -11.760742 0.000000
A1 01 E9 A7 23 5D 0A E7 FDF4 F91F -1.719727 -1.719727 0.000000
CB 17 FA 86 2A FC 1B 5A 00BC CC28 -12.960938 -12.960938 0.000000
B6 61 BA 79 72 CA 13 C7 0435 AEA8 -20.335938 -20.335938 0.000000
