a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
4D C0 45 49 CB 51 D0 41 51 E7 -60.000000 -60.625000 0.625000
C3 4C B9 23 31 BD D1 51 50 51 9.000000 8.375000 0.625000
51 41 41 52 49 CA C2 52 C9 6F 120.000000 119.125000 0.875000
42 4D 4B D1 44 3F CE 51 4C EC -96.000000 -93.812500 2.187500
4F B5 CC B6 CD 3E 4B 3F 30 EA -80.000000 -84.312500 4.312500
4B C7 BA D1 4A CB D2 CF 4D 70 128.000000 134.625000 6.625000
D2 C2 CB 4C D0 CA C2 CE 50 6A 80.000000 72.250000 7.750000
CE C8 CF C4 D1 48 D0 50 C9 6A 80.000000 78.500000 1.500000
3A C7 D1 CC B5 49 C8 CE 49 68 64.000000 64.609375 0.609375
D1 47 CD D1 4E 51 C3 51 C5 EC -96.000000 -95.625000 0.375000
52 51 48 C4 51 C5 D0 42 B3 5A 20.000000 20.562500 0.562500
51 4E 51 4B CE 2C 49 52 C9 61 36.000000 30.625000 5.375000
C9 3A 49 4E 4C C1 D1 34 D1 E9 -72.000000 -74.062500 2.062500
C7 51 CD CE C1 1F 49 16 CA DC -24.000000 -25.140625 1.140625
4B 50 50 CE 43 B9 4F C1 D0 69 72.000000 73.875000 1.875000
C8 4D 50 CE C0 3C 30 4B 39 D8 -16.000000 -15.625000 0.375000
3F CF 50 CA 50 D1 CD C8 B5 64 48.000000 49.687500 1.687500
CA A2 50 C3 BF 3A D1 51 4D EA -80.000000 -81.070312 1.070312
38 BF 49 D0 3A 46 40 47 C8 DF -30.000000 -30.312500 0.312500
42 C7 C8 51 CA C4 4A 40 4D 44 3.000000 3.250000 0.250000
47 BF B9 20 50 49 46 43 37 59 18.000000 18.906250 0.906250
4D 51 47 AC CF D0 50 AC 3A EB -88.000000 -89.359375 1.359375
34 52 4C 52 3A 4A 3D CA 4A 56 14.000000 15.687500 1.687500
C1 42 48 3D C6 34 4A BE 40 5F 30.000000 28.906250 1.093750
47 52 4E 4A CD 48 B8 52 49 68 64.000000 63.125000 0.875000
48 BB CD 34 D2 3B 50 D1 CB ED -104.000000 -106.140625 2.140625
47 50 CC 4C 48 4C 49 CD 2E C4 -3.000000 -2.562500 0.437500
C5 3C BB 51 44 D0 CE D0 48 EA -80.000000 -80.125000 0.125000
D1 4C CC 4E C8 D1 51 CA CA EE -112.000000 -112.000000 0.000000
3F 4E 51 D0 CB 3E AD D1 06 69 72.000000 70.292969 1.707031
48 4F D0 BE CD 49 CB C2 D2 63 44.000000 46.125000 2.125000
D2 44 43 C6 48 44 47 24 40 DB -22.000000 -19.343750 2.656250
41 D1 46 CD CC CC BB 52 4B DA -20.000000 -23.812500 3.812500
4D 48 D2 B9 4B 50 C5 4F CB 6B 88.000000 86.312500 1.687500
4C CC CF CE 49 C3 47 4A 4D D7 -15.000000 -13.125000 1.875000
52 CC D2 D0 49 22 4D 1F 3C D8 -16.000000 -20.375000 4.375000
3D CB D0 4D 49 CE C2 49 CC 6B 88.000000 89.062500 1.062500
19 CF CA 4C AD CB 43 BE BC 58 16.000000 15.471436 0.528564
B9 30 C8 CB CD 4B D1 49 C9 57 15.000000 16.812500 1.812500
CC 3E D0 CA C3 CA 3E 4C 3A E1 -36.000000 -35.000000 1.000000
4A C0 BF 51 D1 D1 C8 D2 CA EE -112.000000 -114.500000 2.500000
4D BE 45 51 51 B3 D1 4A BC 69 72.000000 73.953125 1.953125
BD 46 3A C2 C4 47 44 CD C1 61 36.000000 35.750000 0.250000
D1 43 CF 50 CF D0 CE 4A D2 70 128.000000 128.000000 0.000000
35 1A CF 4C B0 D0 CD D1 41 CC -6.000000 -4.031250 1.968750
C2 4B 4A D0 CE D0 3C 31 CA DE -28.000000 -28.500000 0.500000
C5 D1 4A 46 3B C0 BC D0 D1 DF -30.000000 -30.968750 0.968750
51 CA 4E BF 44 4D 3A 4B 42 C9 -4.500000 -4.562500 0.062500
C7 D1 4D CB D0 4E C9 51 C9 EE -112.000000 -116.250000 4.250000
40 52 CF 49 41 CF D0 4B 48 5A 20.000000 18.250000 1.750000
C2 D1 41 CB 33 D0 49 52 30 5C 24.000000 25.906250 1.906250
41 3F CC CE D1 4F 43 42 4B E1 -36.000000 -34.687500 1.312500
40 3B 3D 52 C9 D1 C7 52 49 6A 80.000000 77.031250 2.968750
